Id,SalePrice
1461,126947.8957
1462,163573.789
1463,189777.1399
1464,188096.6622
1465,198327.5257
1466,176349.1597
1467,173059.8948
1468,169617.5052
1469,186224.2175
1470,120834.3992
1471,204935.5853
1472,99075.92584
1473,101679.3066
1474,154883.429
1475,154791.2926
1476,452307.3813
1477,251792.2909
1478,319660.9747
1479,254021.1702
1480,462527.6764
1481,330772.9196
1482,205505.6935
1483,163908.1748
1484,162602.4018
1485,167033.8144
1486,207250.9463
1487,335981.3927
1488,222902.231
1489,220879.5811
1490,197682.373
1491,190352.5009
1492,85020.24592
1493,183189.931
1494,301122.5556
1495,292641.0994
1496,238956.1167
1497,193255.9532
1498,152393.6905
1499,154030.3336
1500,146495.0956
1501,176011.6366
1502,167491.4904
1503,344481.0188
1504,210094.3379
1505,218900.5494
1506,181704.8747
1507,213026.4294
1508,200898.6729
1509,166348.9102
1510,150581.1882
1511,149819.2356
1512,170375.6548
1513,137846.8501
1514,167117.9071
1515,191047.5753
1516,163625.8826
1517,151080.1538
1518,122688.742
1519,243122.3717
1520,138274.0668
1521,143941.9697
1522,169468.9694
1523,111904.2724
1524,122583.6221
1525,122818.8234
1526,125614.9614
1527,96295.53342
1528,130492.1833
1529,145218.3405
1530,181043.8842
1531,119952.0681
1532,101622.4975
1533,139676.3779
1534,117824.9802
1535,150296.6814
1536,103670.2378
1537,66904.73913
1538,186046.0461
1539,205510.3072
1540,102609.5145
1541,148257.7923
1542,145835.9195
1543,217064.861
1544,71625.3963
1545,110770.6701
1546,125092.8551
1547,147608.52
1548,133782.5684
1549,116151.3555
1550,150071.5372
1551,103088.5907
1552,136016.7209
1553,144657.7996
1554,117772.3524
1555,172599.2864
1556,97360.85563
1557,126090.2635
1558,90014.46027
1559,100749.6203
1560,140838.6193
1561,145947.8902
1562,128820.1773
1563,123482.6664
1564,161861.8896
1565,154375.4872
1566,214996.9867
1567,58749.7923
1568,228490.4566
1569,166483.4172
1570,138486.606
1571,134551.5662
1572,150191.5876
1573,259886.1237
1574,92465.27756
1575,198045.6654
1576,220589.9079
1577,215206.3797
1578,143162.4574
1579,141438.6501
1580,197955.6169
1581,146324.4056
1582,132628.5861
1583,320885.9243
1584,246050.6353
1585,137508.7098
1586,60409.49179
1587,99224.21729
1588,152850.2143
1589,104740.1339
1590,135761.1616
1591,103666.5253
1592,119425.3641
1593,118969.7725
1594,129971.7817
1595,110135.4975
1596,243684.7591
1597,171186.7312
1598,193730.1955
1599,201883.8735
1600,191168.7127
1601,70330.71784
1602,113786.337
1603,85751.89165
1604,269546.1512
1605,235432.9424
1606,169581.9574
1607,169162.319
1608,221992.4973
1609,214244.791
1610,165301.7025
1611,142301.824
1612,164457.3558
1613,157176.3908
1614,130490.1287
1615,88802.68201
1616,72188.4378
1617,88798.46113
1618,128779.663
1619,131025.6929
1620,156508.6008
1621,131416.5794
1622,156318.9113
1623,308355.4761
1624,213936.755
1625,120664.9789
1626,178216.9008
1627,197912.817
1628,266865.8592
1629,180346.258
1630,347892.5407
1631,216785.2558
1632,245786.1375
1633,168833.6686
1634,183262.3314
1635,173630.427
1636,161601.3098
1637,176203.597
1638,210611.2843
1639,181635.6618
1640,242701.7842
1641,183757.3895
1642,219448.7595
1643,203587.6264
1644,214098.3161
1645,202971.0567
1646,159712.9275
1647,160249.841
1648,140061.0309
1649,141004.9357
1650,111859.7164
1651,118820.6742
1652,92964.49502
1653,94965.76617
1654,152768.1124
1655,163739.6166
1656,150047.7595
1657,158263.7654
1658,145407.5581
1659,157041.2363
1660,153546.878
1661,437684.3442
1662,427228.1613
1663,406274.3113
1664,484081.8912
1665,314117.1389
1666,321677.9764
1667,372029.8775
1668,324371.6845
1669,308558.0356
1670,344628.4266
1671,279020.1616
1672,504763.6379
1673,291378.2977
1674,247734.4217
1675,186710.0339
1676,196442.3237
1677,227757.4656
1678,472256.1779
1679,408459.1352
1680,327598.456
1681,288180.27
1682,287851.2312
1683,183513.373
1684,161839.0695
1685,178165.2299
1686,164924.5186
1687,168408.0746
1688,189484.9318
1689,188838.6839
1690,181718.3397
1691,175438.5213
1692,249982.5294
1693,164619.9555
1694,182644.4938
1695,164697.0564
1696,284292.9113
1697,169362.4687
1698,353359.0267
1699,329643.8499
1700,269153.8503
1701,252195.8673
1702,251168.0101
1703,256757.4961
1704,314362.1679
1705,229151.8434
1706,521937.4689
1707,230266.2628
1708,226844.4123
1709,301386.6284
1710,227929.7158
1711,265821.6841
1712,229689.0458
1713,249460.2945
1714,229224.5577
1715,212168.4807
1716,177250.1911
1717,169676.6556
1718,143213.4608
1719,208979.0571
1720,267188.9712
